index,source_title,source_artist,spotify_name,spotify_artists,track_id,matches,reason
17,Bad Romance,Glee Cast,Bad Romance (Glee Cast Version),Glee Cast,0LpE5tfNe15QLvQL4YDi7T,False,Artist matches but title differs: 'Bad Romance' vs 'Bad Romance (Glee Cast Version)'
18,"Honey, I'm Good.",Andy Grammer,"Honey, I'm Good.",Andy Grammer,4Tt6GiWS2V9sQjZjS2xjp2,True,Perfect match
19,Gentleman,PSY,Gentleman,PSY,6djlRvx69CBXQAoXKqk082,True,Perfect match
20,I Won't Let Go,Rascal Flatts,I Won't Let Go,Rascal Flatts,2KBudV1Lf6ZDIS9hi60Lc5,True,Perfect match
21,Take My Name,Parmalee,Take My Name,Parmalee,7g0Zfd5J6Hzx9M2fRUMuba,True,Perfect match
22,Diamonds,Sam Smith,Diamonds,Sam Smith,1hJIbOjWpid6LtnozHmzRS,True,Perfect match
23,The Edge Of Glory,Lady Gaga,The Edge Of Glory,Lady Gaga,57F80059mWaWFvWG3tBTbO,True,Perfect match
24,Clout,Offset Featuring Cardi B,Clout,Offset;Cardi B,,True,Perfect match
25,Pompeii,Bastille,Pompeii,Bastille,4Ub8UsjWuewQrPhuepfVpd,True,Perfect match
26,Ain't It Fun,Paramore,Ain't It Fun,Paramore,1j8z4TTjJ1YOdoFEDwJTQa,True,Perfect match
27,Wagon Wheel,Darius Rucker,Wagon Wheel,Darius Rucker,3xdjjKMcMOFgo1eQrfbogM,True,Perfect match
28,Good Feeling,Flo Rida,Good Feeling,Flo Rida,2LEF1A8DOZ9wRYikWgVlZ8,True,Perfect match
29,Firework,Katy Perry,Firework,Katy Perry,3lXbHd0EoryoQh3vpevNEP,True,Perfect match
30,Favorite Time Of Year,Carrie Underwood,Favorite Time Of Year,Carrie Underwood,2aq7ZO1is1czoQAh076QFU,True,Perfect match
31,Take Me Home For Christmas,Dan + Shay,Take Me Home for Christmas,Dan + Shay,7jTPldVF7Zt9KBQ94Mgr0M,True,Perfect match
32,5 Foot 9,Tyler Hubbard,5 Foot 9,Tyler Hubbard,0U4iRayct65wsaBMQGiLbg,True,Perfect match
33,Fall In Love,Bailey Zimmerman,Fall in Love,Bailey Zimmerman,0rCFRyEy4WXjRXNpO80Dzs,True,Perfect match
34,First Class,Jack Harlow,First Class,Jack Harlow,0wHFktze2PHC5jDt3B17DC,True,Perfect match
35,'Til You Can't,Cody Johnson,'Til You Can't,Cody Johnson,4k3lPl8YTKuY8c1HelVnm3,True,Perfect match
36,Deck The Halls,Nat King Cole,Deck The Halls,Nat King Cole,0rHToGels2lt8Y0mCYoF90,True,Perfect match
37,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",The Christmas Song (Merry Christmas To You),Nat King Cole,,True,Perfect match
38,Rockin' Around The Christmas Tree,Brenda Lee,Rockin' Around The Christmas Tree,Brenda Lee,2EjXfH91m7f8HiJN1yQg97,True,Perfect match
39,See You Again,Wiz Khalifa Featuring Charlie Puth,See You Again,Wiz Khalifa;Charlie Puth,,True,Perfect match
40,Emotionally Scarred,Lil Baby,Emotionally Scarred,Lil Baby,7ge7BHazYbVKi8qyZUX1Bm,True,Perfect match
41,"Hey Look Ma, I Made It",Panic! At The Disco,"Hey Look Ma, I Made It",Panic! At The Disco,22oEJW6r2rMb9z4IntfyEa,True,Perfect match
